id,target,Branch,Res,Age,Income,HMOwn,LORes,HMVal,Moved,InArea,CRScore,AcctAge1,DDA,DDABal,Dep,DepAmt,Inv,InvBal,CashBk,Checks,DirDep,NSF,NSFAmt,Phone,Teller,Sav,SavBal,ATM,ATMAmt,POS,POSAmt,CD,CDBal,IRA,IRABal,LOC,LOCBal,ILS,ILSBal,MM,MMBal,MMCred,MTG,MTGBal,CCBal,CCPurc,SDB
17,0,B1,S,46,19,0,3,97,1,1,649,59.5,1,844.44,3,1784.58,0,0,1,7,0,1,8.96,1,1,1,1993.41,1,1362.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,B1,U,44,50,1,3,173,0,1,674,47.8,1,22289.16,5,8271.87,1,0,0,7,0,0,0,0,12,1,69319.05,0,0,0,0,0,0,0,0,1,1176.79,0,0,0,0,0,1,338076.09,318495.85,0,0
19,0,B1,U,59,34,1,7,106,0,1,696,63.2,1,2787.71,2,1343.64,0,0,0,10,0,0,0,0,6,1,1547.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6361.34,0,0
20,0,B1,U,34,92,1,3,178,0,1,626,51,1,15500.52,1,578.06,0,0,0,0,0,0,0,0,0,1,1256.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,B1,R,43,32,1,4,109,0,1,670,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.49,0,0
22,0,B1,U,,,,,,0,1,666,62.6,1,431.14,2,858.68,0,0,0,1,0,0,0,0,2,1,1520.04,1,111.83,0,0,1,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,B1,U,17,75,1,6.5,127,0,1,635,62.7,1,2245.05,1,431.56,0,0,0,1,0,0,0,0,0,0,0,1,301.83,0,0,1,7400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,B1,U,63,77,1,8,111,0,1,690,61.8,1,554.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,B1,U,,,,,,0,1,634,62.1,1,2703.15,1,62.91,0,0,0,0,0,0,0,0,1,1,4170.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0,B1,S,50,35,1,10,90,0,1,703,57.1,1,1177.93,2,676.71,0,0,0,1,0,0,0,0,5,1,12846.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,B1,S,61,19,0,6.5,112,0,1,674,58.8,1,11116.48,3,3578.6,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,B1,U,37,50,1,6.5,105,0,1,626,44,1,1979.28,3,1280.19,0,0,0,14,1,0,0,0,0,1,8839.76,1,1081.97,4,77.28,0,0,0,0,1,387.59,0,0,0,0,0,0,0,401.14,0,0
29,0,B1,R,70,47,0,5,174,0,1,710,41.7,1,28924.46,2,852.41,0,0,0,5,1,0,0,0,9,1,9607.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,0,B1,U,19,10,1,8,87,0,1,600,59,1,988.82,2,2378.1,0,0,0,5,1,0,0,0,0,1,1559.35,1,1708.87,1,88.75,0,0,0,0,0,0,0,0,0,0,0,0,0,557.84,0,0
31,0,B1,U,73,20,1,13,132,0,1,777,42.3,1,19910.52,4,18460.81,0,0,0,15,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28969.39,0,0,0,0,0,0
32,0,B1,R,37,24,1,5.5,105,0,1,606,58.7,1,72.92,1,85.6,0,0,0,0,0,0,0,0,0,0,0,1,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.77,0,0
33,0,B1,U,57,15,1,10.5,76,0,0,713,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45375.21,0,0,0,0,0,0,0,0,0,0,0,0,1,8700.56,1,0,0,0,0,1
34,0,B1,R,46,15,1,13,100,0,1,659,47.2,1,1581.93,4,2498.16,0,0,0,9,1,0,0,0,0,1,12538.3,1,793.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.99,0,0
35,0,B1,U,45,106,1,5,147,0,1,652,60.8,1,409.28,2,625.91,0,0,0,5,0,0,0,0,3,0,0,1,5.54,1,68.29,0,0,0,0,0,0,0,0,0,0,0,0,0,379.96,0,0
36,0,B1,R,44,28,0,5.5,114,0,1,704,45.6,1,47.07,2,735.62,0,0,0,3,0,0,0,0,0,0,0,1,1116.6,3,66.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,B1,U,,,,,,0,1,655,62.2,1,86.95,0,0,0,0,0,0,0,0,0,0,0,1,5665.44,0,0,0,0,1,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,B1,U,47,90,1,9,120,0,1,667,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21300,0,0,0,0,0,0,1,14971.47,0,0,0,0,0,0
39,0,B1,R,,,,,,1,1,647,61.4,1,4.71,3,29004.96,0,0,0,16,1,0,0,2,2,1,151.5,1,7843.69,5,380.06,1,500,0,0,0,0,0,0,1,15002.28,0,0,0,0,0,1
40,0,B1,U,44,57,1,4.5,116,0,1,712,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.56,0,1
41,0,B1,U,37,27,0,2,102,0,1,682,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14934.66,3,0,0,522.17,2,0
42,0,B1,R,38,84,1,8.5,140,0,0,660,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15041.83,0,0,0,0,0,0
43,0,B1,U,49,85,1,7,121,0,1,699,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35163.81,0,0,0,0,0,0,1,10630.19,0,0,0,0,0,0,0,0,0,0,0,0
44,0,B1,R,37,25,1,11.5,103,0,1,682,59.5,1,868.89,3,6001.32,0,0,0,13,1,0,0,0,0,0,0,1,1129.75,2,257.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,B1,U,36,42,1,8,98,0,1,693,62.3,1,1475.57,2,1764.43,0,0,0,7,0,0,0,0,0,1,4.78,1,1517.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.64,0,0
46,0,B1,R,56,40,0,7,111,0,1,634,59.5,1,946.01,2,4283.9,0,0,0,5,0,0,0,0,2,1,9312.16,1,7904.19,0,0,1,8000,1,5375.67,0,0,0,0,0,0,0,0,0,0,0,0
47,0,B1,S,49,85,0,4,143,0,1,697,59.7,1,674.44,2,827.04,0,0,0,2,0,0,0,0,0,0,0,1,1020.05,0,0,1,9600,0,0,1,54043.55,0,0,0,0,0,0,0,58713.01,0,0
48,0,B1,R,,,,,,0,1,632,58.9,1,72.47,5,20630.04,0,0,0,12,0,0,0,0,0,1,14666.7,1,44589.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.99,0,0
49,0,B1,U,,,,,,0,1,648,54.6,1,1617.82,4,12738.57,0,0,0,1,1,0,0,0,0,1,2453.81,1,9667.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,B1,S,42,17,1,3,124,0,1,676,61.7,1,3907.5,1,483.48,0,0,0,0,0,0,0,0,2,1,8529.37,1,173.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,B1,U,41,28,1,8.5,110,0,1,679,62.9,1,3823.01,3,4694.76,0,0,0,0,0,0,0,0,3,1,1287,0,0,1,39.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,B1,R,37,30,1,6.5,147,0,1,732,60.7,1,24503.64,3,14062.24,0,0,0,8,1,0,0,1,3,0,0,1,458.34,9,499.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,B1,U,,,,,,0,1,636,63.1,1,184.8,5,1203.98,0,0,0,6,0,0,0,7,4,1,369.57,1,1354.28,6,159.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,B1,U,64,60,1,15.5,124,0,1,682,60.6,1,7378.2,3,12584.32,0,0,0,9,0,0,0,0,0,1,28990.23,1,10268.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468598.03,464688.47,0,0
55,0,B1,U,50,30,1,8,99,0,1,661,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38197.54,1,454.21,9,360.15,1,16000,1,5533.99,0,0,0,0,0,0,0,0,0,0,0,0
56,0,B1,S,47,30,1,9,96,0,1,669,59.8,1,1494.6,1,734.49,0,0,0,6,1,0,0,0,0,1,12887.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,B1,U,42,21,1,5.5,99,0,1,762,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,463.6,1,714.41,2,58.28,1,8200,0,0,0,0,0,0,1,14964.41,1,0,0,0,0,0
58,0,B1,U,27,30,1,4.5,100,0,1,667,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15082.82,1,0,0,768.28,0,0
59,0,B1,S,48,70,1,6,126,0,1,681,60.4,1,355.94,2,4392.91,0,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15388.58,1,0,0,0,0,0
60,0,B1,S,46,31,0,3.5,98,0,1,744,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92437.44,0,0,0,0,0,0,1,11930.83,0,0,0,0,0,0,0,0,0,0,0,0
61,0,B1,U,,,,,,0,1,676,59.3,1,543.11,2,1731.02,0,0,0,13,0,0,0,1,4,1,9776.75,1,23.04,0,0,0,0,1,3006.73,0,0,0,0,0,0,0,0,0,0,0,0
62,0,B1,R,41,109,1,11,144,0,1,644,,1,4901.93,2,917.21,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,1,24000,0,0,0,0,0,0,1,18239.19,0,0,0,36.44,0,1
63,0,B1,S,58,12,1,10.5,154,0,1,690,62.2,1,40319.25,1,6104.42,0,0,0,0,0,0,0,0,3,1,16937.94,1,497.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,B1,U,43,72,1,6.5,126,0,1,681,,1,1391.73,1,2522.6,0,0,0,1,0,0,0,0,1,1,7271.62,1,84.04,0,0,0,0,1,1088.58,0,0,0,0,1,14920.67,0,0,0,0,0,0
65,0,B1,S,53,52,1,9,118,0,1,678,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.37,0,0
66,0,B1,S,56,46,1,4,118,0,1,759,60.1,1,1325.03,4,2885.96,0,0,0,12,0,0,0,10,9,1,0,1,2937.32,4,169.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,0,B1,S,45,28,1,7.5,108,0,1,630,55.7,1,4174.29,2,3834.77,0,0,0,12,1,0,0,0,1,1,21712.4,1,1143.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,B1,U,50,20,0,5,129,0,1,689,57.8,1,11181.19,2,10709.17,0,0,0,8,0,0,0,1,5,0,0,1,516.08,0,0,1,9200,0,0,1,16847.51,0,0,0,0,0,0,0,17779.98,1,0
69,0,B1,R,46,54,1,9.5,99,0,1,686,55.7,0,0,0,0,1,244236,0,0,0,0,0,0,0,1,19162.33,0,0,0,0,1,2100,0,0,0,0,0,0,1,12416.73,0,0,0,4218.83,2,0
70,0,B1,U,,,,,,0,1,695,,1,5782.66,2,2589.61,0,0,0,3,1,0,0,0,0,1,2192.27,1,3254.9,2,79.73,0,0,0,0,0,0,0,0,0,0,0,0,0,309.64,0,0
71,0,B1,U,58,3,1,9.5,72,0,1,644,62.6,1,-774.83,4,2407.5,0,0,0,4,0,1,19.33,0,7,1,13.3,1,665.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,B1,U,63,25,1,5.5,100,0,1,726,59.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12807.21,1,5515.78,1,156.17,0,0,0,0,0,0,0,0,0,0,0,0,0,3030.78,0,0
73,0,B1,R,,,,,,0,1,649,59.3,1,622.83,2,1418.61,0,0,0,3,0,0,0,0,5,1,14014.32,1,651.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,B1,S,74,6,1,9.5,84,0,1,599,60,1,5140.05,2,4880.28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,B1,R,45,5,1,8,93,0,1,742,52.4,1,978.65,3,2663.71,1,2756.72,0,9,0,0,0,4,1,1,5466.09,1,0,0,0,0,0,0,0,0,0,0,0,1,14871.48,1,1,90884.09,88538.03,1,0
76,0,B1,R,28,17,1,4.5,111,0,1,690,59.2,1,554.83,2,1466.46,0,0,0,12,1,0,0,0,4,1,4520.68,1,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,2,0
77,0,B1,U,28,88,1,8.5,120,0,1,664,60.2,1,444.28,2,1499.23,0,0,0,1,1,0,0,1,1,1,1499.91,1,912.79,1,45.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1325.79,1,0
78,0,B1,S,47,39,1,5.5,109,0,1,653,54.7,1,494.93,2,969.96,0,0,0,4,0,0,0,0,1,1,5178.41,0,0,1,54.94,0,0,0,0,0,0,0,0,0,0,0,0,0,3200.4,1,0
79,0,B1,U,40,18,1,7,132,0,1,659,,1,27547.67,1,24621.56,0,0,0,2,0,0,0,0,0,1,589.13,1,896.82,0,0,0,0,0,0,0,0,0,0,1,34081.51,0,0,0,0,0,0
80,0,B1,S,43,14,0,4.5,91,0,1,691,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27310.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,B1,R,72,32,1,9,87,0,1,729,62.3,1,1137.56,2,456.83,0,0,0,1,0,0,0,0,0,1,731.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,0,B1,S,57,82,1,7.5,130,0,1,638,59.6,1,2137.54,2,1859.47,0,0,0,12,0,0,0,0,4,1,486.54,1,1470.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.37,0,0
83,0,B1,R,43,47,1,5,117,0,1,595,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8400,0,0,0,0,0,0,1,15010.74,0,0,0,6.61,0,1
84,0,B1,U,,,,,,0,1,680,,1,96.02,3,1077.69,0,0,0,16,0,0,0,3,4,1,3692.52,1,777.87,0,0,0,0,1,24.78,0,0,0,0,0,0,0,0,0,0,0,0
85,0,B1,R,,,,,,0,1,720,45.7,1,703.31,2,1621.51,0,0,0,5,1,0,0,0,0,0,0,1,229.57,0,0,1,8600,0,0,0,0,0,0,1,15586.41,1,0,0,961.76,0,0
86,0,B1,S,50,76,1,5,119,0,1,668,61.1,1,1129.98,6,2301.65,0,0,0,7,1,0,0,4,0,1,3029.05,1,3100.69,28,631.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,B1,S,59,93,1,8,136,0,1,741,61.4,1,3273.58,2,1608.8,0,0,0,2,0,0,0,0,0,1,2629.75,1,2548.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.49,0,0
88,0,B1,U,60,16,1,7.5,95,0,1,702,60,1,3958.77,3,1368.35,0,0,0,4,0,0,0,1,0,1,367.05,1,1419.8,9,255.2,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,0,0
89,0,B1,U,65,77,1,6.5,127,0,1,727,,1,1018.39,3,6169.93,0,0,0,15,0,0,0,1,3,0,0,1,1365.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2365.71,0,0
90,0,B1,R,49,15,1,9.5,88,0,1,638,53.9,1,1111.91,3,1337.51,0,0,0,5,0,0,0,0,1,1,4884.69,1,2083.54,10,421.95,1,24600,0,0,0,0,0,0,1,15011.62,0,0,0,1603.66,2,0
91,0,B1,U,40,51,1,8,105,0,1,679,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2693.63,0,0,0,0,0,0,0,0,0,0,0,0,1,14763.15,0,0,0,1251.6,0,1
92,0,B1,S,41,47,1,10,124,0,0,647,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15007.88,2,0,0,0,0,0
93,0,B1,S,25,25,1,9,106,0,0,692,59.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43700,0,0,0,0,0,0,0,0,0,1,127655.63,113364.59,0,0
94,0,B1,U,55,80,1,4,131,0,1,731,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5197.38,1,301.85,2,25.78,0,0,0,0,0,0,0,0,1,14283.45,0,0,0,4751.37,0,0
95,0,B1,U,,,,,,0,1,702,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10252.2,0,0,0,0,1,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,B1,U,57,18,1,4,102,0,1,628,48.6,1,3434.45,2,711.71,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.9,0,0
97,0,B1,S,34,23,1,4.5,110,0,1,711,61.9,1,7778.09,2,1172.3,0,0,0,9,1,0,0,0,1,1,46414.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,B1,U,,,,,,0,1,618,59.7,1,2134.79,3,2091.18,0,0,0,3,1,0,0,0,1,1,4228.02,1,996.82,2,145.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,B1,S,27,31,1,9,105,0,1,630,,1,454.48,2,404.73,0,0,0,1,0,0,0,0,2,0,0,1,215.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,B1,U,56,55,1,8,146,0,1,703,51.9,1,15400.09,5,5627.6,0,0,0,3,1,0,0,0,3,0,0,1,8994.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,B1,U,55,28,1,3.5,99,0,1,724,61,1,3849.13,1,1008.95,0,0,0,0,0,0,0,0,1,0,0,1,1733.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,B1,U,71,73,1,9,412,0,1,700,58.4,1,168723.8,2,70322.19,0,0,0,1,0,0,0,0,1,1,9918.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4445.97,0,0
103,0,B1,S,,,,,,0,1,668,61.1,1,1191.38,3,1011.92,0,0,0,3,0,0,0,0,0,1,13597.38,1,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.42,0,0
104,0,B1,U,77,52,1,8,114,0,1,710,61.9,1,3.44,2,209.77,0,0,0,0,0,0,0,0,0,0,0,1,309.06,5,95.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,B1,S,50,66,1,10.5,115,1,1,614,52.7,1,1760.09,0,0,0,0,0,2,0,0,0,0,0,1,8385.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,0,B1,S,60,58,1,5,114,0,1,617,58.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14758.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,B1,U,26,96,1,8,149,0,1,660,62.7,1,3654.68,2,1137.86,0,0,0,7,1,0,0,0,0,1,1461.62,1,198.86,0,0,1,2400,0,0,0,0,0,0,0,0,0,0,0,20.13,1,0
108,0,B1,U,51,38,0,4,118,0,0,751,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80000,0,0,0,0,0,0,0,0,0,0,0,37.04,0,0
109,0,B1,R,50,52,0,4.5,113,0,1,641,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6590.87,0,0,0,0,0,0,0,0,0,131.74,0,1
110,0,B1,R,17,105,0,5.5,149,0,1,617,62.7,1,5710.56,2,1224.6,0,0,0,2,1,0,0,0,1,0,0,1,604.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,B1,S,42,24,0,6,95,0,1,647,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,B1,U,,,,,,0,1,694,61.7,1,2238.43,3,2291.91,0,0,0,3,0,0,0,0,0,1,4437.89,1,0,1,119.65,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45,1,0
113,0,B1,R,59,14,0,6.5,98,1,1,708,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25812.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,B1,S,60,19,1,6,92,0,1,737,61.5,1,4870.74,1,10758.73,0,0,0,4,0,0,0,0,5,1,8476.7,0,0,0,0,1,120000,0,0,0,0,0,0,1,17386.15,2,0,0,157.92,1,1
115,0,B1,S,39,4,1,7,87,0,1,582,59.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4842.85,1,257.08,9,185.01,0,0,1,0,0,0,0,0,0,0,0,0,0,844.72,0,0
116,0,B1,U,58,15,1,2,109,0,1,733,62.9,1,370.5,2,743.31,0,0,0,2,1,0,0,0,2,1,1196.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,B1,U,,,,,,0,1,738,,1,223.19,2,296.57,0,0,0,1,0,0,0,0,1,1,778.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225.69,0,1
118,0,B1,U,43,44,0,4.5,107,0,1,667,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,0,B1,U,38,5,1,6.5,91,0,1,659,62.1,1,3104.08,2,2615.93,0,0,0,2,0,0,0,0,6,1,8142.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.45,0,0
120,0,B1,R,,,,,,0,1,740,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11337.28,1,3573.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,0,B1,S,74,67,1,10,104,1,1,712,63,1,244.87,2,1605.6,0,0,0,1,0,0,0,1,3,1,863.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602.48,0,0
122,0,B1,S,65,53,1,7,135,0,1,643,54.1,1,3919.28,3,2852.89,0,0,0,5,1,0,0,0,3,1,4187.83,1,1166.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.43,0,0
123,0,B1,U,57,30,1,9.5,98,0,1,711,59.5,1,277.7,1,209.89,0,0,0,0,0,0,0,0,0,1,1638.75,1,165.01,0,0,0,0,1,1466.03,0,0,0,0,0,0,0,0,0,0,0,1
124,0,B1,U,,,,,,0,1,637,58.7,1,927.34,2,2944.15,0,0,0,4,1,0,0,0,0,1,6185.06,1,3190.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,B1,U,,,,,,0,1,707,60.4,1,2852.53,3,2884.83,0,0,0,3,1,0,0,0,0,0,0,1,1738.05,0,0,1,7300,0,0,0,0,0,0,0,0,0,0,0,68.13,0,0
